frame,head_x,head_y,head_z,right_x,right_y,right_z,raw_x,raw_y,raw_z
1723,0.1302139893856964,-0.08431738854627073,1.1098004428897943,0.4590101732249284,-0.3530238433128112,0.25994982062608313,0.57529616355896,-0.4517039358615875,1.03338623046875
1724,0.1302139893856964,-0.08431738854627073,1.1098004428897943,0.45914113864882033,-0.35299026950408946,0.25961775280889016,0.5753200650215149,-0.45167794823646545,1.0330294370651245
1725,0.1302139893856964,-0.08431738854627073,1.1098004428897943,0.45923618591065785,-0.35299180387941276,0.2594247117460105,0.575351357460022,-0.45168450474739075,1.0328166484832764
1726,0.1297514903972411,-0.08458570807280952,1.1096976976927944,0.45971908832243147,-0.35259891747407207,0.2596977941476358,0.575351357460022,-0.45168450474739075,1.0328166484832764
1727,0.12954401032076748,-0.08472724698820372,1.109818670329389,0.46039216224060553,-0.35211884388190146,0.25948581593309844,0.5753874778747559,-0.4518109858036041,1.0326155424118042
1728,0.1292933449915834,-0.08491616201454934,1.1101423163021698,0.46120115832902764,-0.351675193474276,0.25748075107629204,0.5752508044242859,-0.45202457904815674,1.0324292182922363
1729,0.1292933449915834,-0.08491616201454934,1.1101423163021698,0.461113176501833,-0.35194036513924076,0.25723902716631725,0.5750856995582581,-0.45228874683380127,1.0322306156158447
1730,0.1288661440042791,-0.08514752050347804,1.1100872350533149,0.46151714122525195,-0.35158401906834336,0.25720379086845285,0.574910044670105,-0.452366441488266,1.0321335792541504
1731,0.1288661440042791,-0.08514752050347804,1.1100872350533149,0.46151714122525195,-0.35158401906834336,0.25720379086845285,0.574910044670105,-0.452366441488266,1.0321335792541504
1732,0.1288661440042791,-0.08514752050347804,1.1100872350533149,0.46151714122525195,-0.35158401906834336,0.25720379086845285,0.574910044670105,-0.452366441488266,1.0321335792541504
1733,0.1288661440042791,-0.08514752050347804,1.1100872350533149,0.4615830235359025,-0.35159470459836206,0.25695615606444494,0.5748975276947021,-0.45238181948661804,1.031877875328064
1734,0.12873756489462673,-0.08486468207797672,1.110048171682086,0.4616077837750485,-0.35271313991262543,0.25548018082050455,0.5749589800834656,-0.4524727165699005,1.0305677652359009
1735,0.12873756489462673,-0.08486468207797672,1.110048171682086,0.4616077837750485,-0.35271313991262543,0.25548018082050455,0.5749589800834656,-0.4524727165699005,1.0305677652359009
1736,0.12873756489462673,-0.08486468207797672,1.110048171682086,0.4617244016548484,-0.3528528888143071,0.25503128171668427,0.5749301910400391,-0.4526209235191345,1.0301074981689453
1737,0.12873756489462673,-0.08486468207797672,1.110048171682086,0.4617244016548484,-0.3528528888143071,0.25503128171668427,0.5749301910400391,-0.4526209235191345,1.0301074981689453
1738,0.12878878564055035,-0.08467144588144594,1.1101536662145015,0.46161274937287966,-0.3536332131015346,0.253311791799459,0.5749062299728394,-0.4527384638786316,1.029587984085083
